	XctySki	biathlon	bobsled	luge	hockey	speedSkt	icedance	figure	snowbrd	skiJump	slalom	downhill
XctySki	0	4.14	6.5	6.57	6.71	5.79	6.64	6.5	5.93	5.29	6.21	5.5
biathlon	4.14	0	6.14	6.14	6.86	5.86	7.36	6.64	6.57	6.14	5.57	5.71
bobsled	6.5	6.14	0	3.57	6.5	5.71	6.71	6.93	6.29	6.29	5.79	5.14
luge	6.57	6.14	3.57	0	6.86	6.14	6.86	6.21	5.86	5.64	5.21	4.71
hockey	6.71	6.86	6.5	6.86	0	5.07	5.29	5.21	6.93	6.71	6.79	6.21
speedSkt	5.79	5.86	5.71	6.14	5.07	0	5.07	5.29	6.71	6.36	5.29	5.64
icedance	6.64	7.36	6.71	6.86	5.29	5.07	0	3.93	5.93	6.29	6.43	6.29
figure	6.5	6.64	6.93	6.21	5.21	5.29	3.93	0	6.79	6.21	6.57	6.43
snowbrd	5.93	6.57	6.29	5.86	6.93	6.71	5.93	6.79	0	4.71	4.86	4.79
skiJump	5.29	6.14	6.29	5.64	6.71	6.36	6.29	6.21	4.71	0	4.64	5
slalom	6.21	5.57	5.79	5.21	6.79	5.29	6.43	6.57	4.86	4.64	0	4.33
downhill	5.5	5.71	5.14	4.71	6.21	5.64	6.29	6.43	4.79	5	4.33	0
